Timestamp,Session ID,Building,Floor,Localization Time (s),Localization Success,Navigation Time (s),Navigation Success
2024-10-25 22:43:57,anbang,LightHouse,6_floor,47.5,Success,0.07,Success
2024-10-25 22:44:23,anbang,LightHouse,6_floor,0.49,Success,0.08,Success
2024-10-25 22:44:43,anbang,LightHouse,6_floor,0.43,Success,0.08,Success
0044-06379400440044-0637942024-10-28 08:54:48,Vinay19,N/A,N/A,21.56,Failed,,
2024-10-28 08:54:48,Vinay19,N/A,N/A,49.16,Failed,,
2024-10-28 08:55:05,Vinay19,LightHouse,6_floor,6.13,Success,0.13,Success
2024-10-28 08:55:37,Vinay19,LightHouse,6_floor,0.44,Failed,,
2024-10-28 08:55:41,Vinay19,LightHouse,6_floor,0.42,Failed,,
2024-10-28 08:55:45,Vinay19,LightHouse,6_floor,0.41,Failed,,
2024-10-28 08:55:52,Vinay19,LightHouse,6_floor,0.42,Failed,,
2024-10-28 08:56:04,Vinay19,LightHouse,6_floor,0.49,Success,0.09,Success
2024-10-28 08:56:38,Vinay19,LightHouse,6_floor,0.57,Success,0.09,Success
2024-10-28 08:56:53,Vinay19,LightHouse,6_floor,0.44,Success,0.12,Success
2024-10-28 08:57:06,Vinay19,LightHouse,6_floor,0.45,Success,0.15,Success
2024-10-28 15:44:05,Vinay19,LightHouse,6_floor,0.5,Success,0.08,Success
2024-10-28 15:44:40,Vinay19,LightHouse,6_floor,0.45,Success,0.09,Success
2024-10-28 15:47:44,Vinay19,N/A,N/A,119.25,Failed,,
2024-10-28 15:47:44,Vinay19,N/A,N/A,126.55,Failed,,
2024-10-28 15:47:45,Vinay19,LightHouse,6_floor,86.49,Success,0.09,Success
2024-10-28 15:48:00,Vinay19,LightHouse,6_floor,0.5,Failed,,
2024-10-28 15:48:05,Vinay19,LightHouse,6_floor,0.51,Failed,,
2024-10-28 15:48:10,Vinay19,LightHouse,6_floor,0.49,Failed,,
2024-10-28 15:48:20,Vinay19,LightHouse,6_floor,0.5,Failed,,
2024-10-28 15:48:29,Vinay19,LightHouse,6_floor,0.49,Failed,,
2024-10-28 15:48:34,Vinay19,LightHouse,6_floor,0.5,Failed,,
2024-10-28 15:48:45,Vinay19,LightHouse,6_floor,0.52,Failed,,
2024-10-28 15:48:48,Vinay19,LightHouse,6_floor,0.53,Failed,,
2024-10-28 15:48:53,Vinay19,LightHouse,6_floor,0.54,Failed,,
2024-10-28 15:49:13,Vinay19,LightHouse,6_floor,0.53,Failed,,
2024-10-28 15:49:18,Vinay19,LightHouse,6_floor,0.53,Failed,,
2024-10-28 15:49:32,Vinay19,LightHouse,6_floor,0.56,Failed,,
2024-10-28 15:49:35,Vinay19,LightHouse,6_floor,0.61,Failed,,
2024-10-28 15:54:55,Vinay19,LightHouse,6_floor,53.19,Success,0.09,Success
2024-10-28 15:55:05,Vinay19,LightHouse,6_floor,0.55,Success,0.09,Success
2024-10-28 15:55:14,Vinay19,LightHouse,6_floor,0.47,Success,0.09,Success
2024-10-28 15:55:27,Vinay19,LightHouse,6_floor,0.49,Success,0.15,Success
2024-10-28 15:55:40,Vinay19,LightHouse,6_floor,0.43,Success,0.16,Success
2024-10-28 15:57:30,Vinay19,LightHouse,6_floor,0.47,Success,0.16,Success
2024-10-28 15:57:49,Vinay19,LightHouse,6_floor,0.44,Success,0.12,Success
2024-10-28 15:58:58,Vinay19,LightHouse,6_floor,0.52,Success,0.14,Success
2024-11-08 09:13:09,Vinay19,N/A,N/A,241.06,Failed,,
2024-11-08 09:13:09,Vinay19,N/A,N/A,241.08,Failed,,
2024-11-08 09:13:09,Vinay19,N/A,N/A,240.9,Failed,,
2024-11-08 09:13:09,Vinay19,N/A,N/A,241.03,Failed,,
2024-11-08 09:13:09,Vinay19,N/A,N/A,241.2,Failed,,
2024-11-09 16:16:46,anbang,LightHouse,6_floor,55.72,Success,0.08,Success
2024-11-09 16:17:55,anbang,LightHouse,6_floor,0.45,Success,0.07,Success
2024-11-09 16:19:20,anbang,LightHouse,6_floor,0.38,Failed,,
2024-11-09 16:20:01,anbang,LightHouse,6_floor,0.39,Failed,,
2024-11-09 16:20:10,anbang,LightHouse,6_floor,0.37,Failed,,
2024-11-09 16:20:16,anbang,LightHouse,6_floor,0.51,Success,0.11,Success
2024-11-10 21:56:52,anbang,LightHouse,6_floor,2.76,Success,,
2024-11-10 21:56:52,anbang,LightHouse,6_floor,2.78,Success,,
2024-11-10 21:56:52,anbang,LightHouse,6_floor,2.94,Success,,
2024-11-10 21:56:52,anbang,LightHouse,6_floor,3.08,Success,,
2024-11-10 21:56:52,anbang,LightHouse,6_floor,3.05,Success,,
2024-11-10 21:56:55,anbang,LightHouse,6_floor,2.75,Success,,
2024-11-10 21:56:55,anbang,LightHouse,6_floor,2.88,Success,,
2024-11-10 21:56:56,anbang,LightHouse,6_floor,3.78,Success,,
2024-11-10 21:56:56,anbang,LightHouse,6_floor,3.8,Success,,
2024-11-10 21:56:56,anbang,LightHouse,6_floor,3.88,Success,,
2024-11-10 21:56:58,anbang,LightHouse,6_floor,3.05,Success,,
2024-11-10 21:56:58,anbang,LightHouse,6_floor,3.23,Success,,
2024-11-10 21:57:00,anbang,LightHouse,6_floor,3.54,Success,,
2024-11-10 21:57:00,anbang,LightHouse,6_floor,3.56,Success,,
2024-11-10 21:57:00,anbang,LightHouse,6_floor,3.61,Success,,
2024-11-10 21:57:02,anbang,LightHouse,6_floor,3.58,Success,,
2024-11-10 21:57:02,anbang,LightHouse,6_floor,3.61,Success,,
2024-11-10 21:57:03,anbang,LightHouse,6_floor,3.17,Success,,
2024-11-10 21:57:04,anbang,LightHouse,6_floor,3.93,Success,,
2024-11-10 21:57:04,anbang,LightHouse,6_floor,3.97,Success,,
2024-11-10 21:57:06,anbang,LightHouse,6_floor,3.71,Success,,
2024-11-10 21:57:06,anbang,LightHouse,6_floor,3.95,Success,,
2024-11-10 21:57:07,anbang,LightHouse,6_floor,3.45,Success,,
2024-11-10 21:57:07,anbang,LightHouse,6_floor,3.17,Success,,
2024-11-10 21:57:08,anbang,LightHouse,6_floor,3.55,Success,,
2024-11-10 21:57:09,anbang,LightHouse,6_floor,2.73,Success,,
2024-11-10 21:57:09,anbang,LightHouse,6_floor,2.76,Success,,
2024-11-10 21:57:09,anbang,LightHouse,6_floor,1.94,Success,,
2024-11-10 21:57:09,anbang,LightHouse,6_floor,1.9,Success,,
2024-11-10 21:57:09,anbang,LightHouse,6_floor,1.53,Success,,
2024-11-10 21:57:31,anbang,LightHouse,6_floor,2.07,Failed,,
2024-11-10 21:57:31,anbang,LightHouse,6_floor,2.07,Success,,
2024-11-10 21:57:31,anbang,LightHouse,6_floor,2.0,Failed,,
2024-11-10 21:57:31,anbang,LightHouse,6_floor,2.13,Success,,
2024-11-10 21:57:31,anbang,LightHouse,6_floor,2.03,Success,,
2024-11-10 21:57:33,anbang,LightHouse,6_floor,2.07,Failed,,
2024-11-10 21:57:33,anbang,LightHouse,6_floor,2.06,Success,,
2024-11-10 21:57:33,anbang,LightHouse,6_floor,2.09,Success,,
2024-11-10 21:57:33,anbang,LightHouse,6_floor,2.1,Success,,
2024-11-10 21:57:35,anbang,LightHouse,6_floor,3.19,Success,,
2024-11-10 21:57:35,anbang,LightHouse,6_floor,1.96,Success,,
2024-11-10 21:57:35,anbang,LightHouse,6_floor,1.88,Success,,
2024-11-10 21:57:35,anbang,LightHouse,6_floor,1.9,Failed,,
2024-11-10 21:57:35,anbang,LightHouse,6_floor,1.9,Success,,
2024-11-10 21:57:37,anbang,LightHouse,6_floor,2.04,Success,,
2024-11-10 21:57:38,anbang,LightHouse,6_floor,2.02,Failed,,
2024-11-10 21:57:38,anbang,LightHouse,6_floor,2.0,Success,,
2024-11-10 21:57:38,anbang,LightHouse,6_floor,2.03,Success,,
2024-11-10 21:57:38,anbang,LightHouse,6_floor,2.04,Success,,
2024-11-10 21:57:39,anbang,LightHouse,6_floor,1.99,Failed,,
2024-11-10 21:57:40,anbang,LightHouse,6_floor,1.99,Failed,,
2024-11-10 21:57:40,anbang,LightHouse,6_floor,2.08,Success,,
2024-11-10 21:57:40,anbang,LightHouse,6_floor,2.13,Success,,
2024-11-10 21:57:41,anbang,LightHouse,6_floor,2.98,Success,,
2024-11-10 21:57:41,anbang,LightHouse,6_floor,2.2,Success,,
2024-11-10 21:57:42,anbang,LightHouse,6_floor,2.34,Success,,
2024-11-10 21:57:42,anbang,LightHouse,6_floor,2.42,Success,,
2024-11-10 21:57:42,anbang,LightHouse,6_floor,2.31,Success,,
2024-11-10 21:57:42,anbang,LightHouse,6_floor,1.58,Success,,
2024-11-10 21:57:44,anbang,LightHouse,6_floor,2.62,Success,,
2024-11-10 21:57:45,anbang,LightHouse,6_floor,2.44,Success,,
2024-11-10 21:57:45,anbang,LightHouse,6_floor,2.61,Success,,
2024-11-10 21:57:45,anbang,LightHouse,6_floor,2.71,Success,,
2024-11-10 21:57:45,anbang,LightHouse,6_floor,2.72,Success,,
2024-11-10 21:57:47,anbang,LightHouse,6_floor,2.77,Success,,
2024-11-10 21:57:48,anbang,LightHouse,6_floor,2.42,Success,,
2024-11-10 21:57:48,anbang,LightHouse,6_floor,2.57,Success,,
2024-11-10 21:57:48,anbang,LightHouse,6_floor,2.84,Success,,
2024-11-10 21:57:48,anbang,LightHouse,6_floor,3.11,Success,,
